iter	Passed	Remaining
0	13	67241
1	23	59348
2	33	55261
3	42	53591
4	51	51816
5	60	50731
6	70	50127
7	80	50039
8	89	49578
9	98	49344
10	108	49043
11	116	48568
12	125	48200
13	133	47644
14	143	47762
15	152	47654
16	162	47708
17	171	47597
18	181	47628
19	191	47666
20	200	47510
21	211	47763
22	218	47226
23	224	46625
24	234	46655
25	244	46743
26	254	46939
27	263	46852
28	272	46782
29	282	46857
30	291	46776
31	301	46845
32	312	46995
33	321	47026
34	332	47142
35	341	47079
36	348	46687
37	357	46696
38	366	46678
39	375	46578
40	384	46534
41	393	46407
42	402	46379
43	412	46488
44	422	46534
45	430	46398
46	438	46214
47	447	46213
48	457	46256
49	468	46351
50	477	46326
51	487	46433
52	495	46277
53	505	46316
54	515	46378
55	525	46386
56	535	46469
57	546	46539
58	555	46514
59	564	46481
60	573	46453
61	584	46540
62	594	46565
63	600	46327
64	610	46364
65	619	46340
66	629	46374
67	639	46405
68	649	46402
69	659	46450
70	669	46495
71	678	46454
72	687	46425
73	696	46360
74	705	46335
75	714	46315
76	723	46286
77	734	46343
78	743	46341
79	753	46369
80	764	46419
81	771	46245
82	781	46268
83	788	46161
84	799	46209
85	807	46136
86	817	46160
87	827	46199
88	837	46198
89	847	46221
90	854	46113
91	862	46037
92	872	46040
93	882	46036
94	891	46048
95	900	46004
96	909	45956
97	918	45947
98	927	45929
99	936	45873
100	945	45844
101	954	45821
102	962	45768
103	971	45715
104	979	45680
105	989	45683
106	999	45696
107	1007	45653
108	1017	45640
109	1025	45598
110	1034	45550
111	1042	45497
112	1051	45456
113	1059	45416
114	1066	45320
115	1077	45362
116	1086	45352
117	1096	45369
118	1105	45344
119	1114	45311
120	1123	45322
121	1133	45311
122	1142	45283
123	1151	45265
124	1160	45243
125	1168	45218
126	1177	45191
127	1187	45191
128	1196	45192
129	1204	45135
130	1214	45127
131	1221	45053
132	1229	45007
133	1238	44990
134	1248	44984
135	1257	44977
136	1266	44960
137	1274	44912
138	1283	44901
139	1292	44857
140	1301	44844
141	1310	44837
142	1318	44797
143	1327	44751
144	1336	44763
145	1344	44710
146	1354	44728
147	1364	44739
148	1373	44706
149	1383	44719
150	1392	44725
151	1402	44722
152	1411	44731
153	1420	44709
154	1430	44719
155	1440	44730
156	1449	44712
157	1458	44686
158	1466	44655
159	1475	44640
160	1483	44585
161	1491	44546
162	1499	44490
163	1509	44513
164	1519	44522
165	1529	44529
166	1538	44530
167	1547	44510
168	1557	44524
169	1567	44542
170	1577	44540
171	1587	44566
172	1597	44568
173	1607	44597
174	1619	44644
175	1629	44668
176	1640	44691
177	1650	44702
178	1660	44729
179	1671	44748
180	1681	44776
181	1689	44735
182	1699	44742
183	1710	44779
184	1721	44811
185	1731	44822
186	1742	44838
187	1752	44854
188	1762	44852
189	1773	44885
190	1782	44890
191	1792	44893
192	1801	44880
193	1812	44908
194	1823	44936
195	1834	44961
196	1845	44994
197	1855	45002
198	1866	45022
199	1875	45012
200	1886	45036
201	1897	45064
202	1905	45024
203	1916	45057
204	1924	45008
205	1934	45017
206	1945	45043
207	1956	45069
208	1967	45090
209	1977	45112
210	1988	45133
211	1998	45131
212	2009	45152
213	2019	45174
214	2029	45177
215	2040	45193
216	2051	45212
217	2061	45217
218	2071	45224
219	2082	45243
220	2092	45247
221	2102	45252
222	2113	45269
223	2122	45256
224	2133	45276
225	2144	45295
226	2154	45301
227	2164	45304
228	2175	45316
229	2185	45321
230	2195	45335
231	2205	45332
232	2216	45343
233	2226	45358
234	2236	45356
235	2247	45366
236	2257	45373
237	2267	45373
