iter	Passed	Remaining
0	12	64607
1	23	59127
2	35	58562
3	47	58812
4	59	59122
5	70	58418
6	82	58586
7	94	58689
8	105	58747
9	116	58260
10	128	58184
11	140	58281
12	154	59307
13	166	59395
14	178	59441
15	189	59064
16	201	59053
17	211	58507
18	221	58139
19	234	58278
20	244	57882
21	255	57923
22	267	57972
23	279	57963
24	291	58033
25	303	58097
26	315	58115
27	326	58000
28	338	57982
29	350	57995
30	364	58412
31	378	58813
32	393	59198
33	407	59510
34	417	59294
35	428	59060
36	440	59052
37	451	59003
38	463	59015
39	475	58954
40	487	58955
41	499	58945
42	511	58931
43	522	58881
44	535	58947
45	549	59190
46	563	59403
47	577	59621
48	592	59841
49	606	60057
50	620	60165
51	631	60102
52	641	59921
53	653	59810
54	664	59781
55	678	59861
56	690	59860
57	702	59828
58	713	59790
59	725	59737
60	739	59866
61	752	59902
62	764	59875
63	776	59852
64	787	59823
65	797	59583
66	808	59552
67	820	59534
68	832	59457
69	843	59380
70	853	59253
71	865	59239
72	877	59225
73	889	59182
74	900	59133
75	912	59119
76	924	59099
77	936	59078
78	947	59004
79	959	58994
80	970	58966
81	984	59040
82	998	59143
83	1012	59275
84	1026	59361
85	1040	59433
86	1051	59400
87	1062	59299
88	1074	59307
89	1085	59225
90	1097	59213
91	1109	59197
92	1121	59180
93	1133	59133
94	1144	59116
95	1156	59094
96	1168	59067
97	1180	59027
98	1191	59007
99	1203	58992
100	1215	58967
101	1226	58905
102	1238	58891
103	1250	58865
104	1264	58959
105	1273	58774
106	1284	58753
107	1296	58734
108	1308	58720
109	1320	58693
110	1331	58666
111	1342	58584
112	1354	58569
113	1366	58564
114	1378	58536
115	1389	58517
116	1401	58499
117	1413	58483
118	1424	58447
119	1436	58429
120	1448	58423
121	1461	58417
122	1472	58387
123	1484	58378
124	1493	58265
125	1509	58381
126	1517	58211
127	1524	58034
128	1532	57860
129	1539	57663
130	1546	57473
131	1553	57289
132	1560	57104
133	1567	56919
134	1574	56744
135	1581	56573
136	1589	56405
137	1596	56231
138	1602	56038
139	1609	55877
140	1616	55704
141	1623	55530
142	1629	55344
143	1639	55302
144	1651	55305
145	1663	55307
146	1674	55289
147	1686	55298
148	1694	55172
149	1706	55175
150	1716	55131
151	1727	55103
152	1738	55086
153	1750	55073
154	1760	55033
155	1772	55033
156	1783	55002
157	1795	55012
158	1807	55037
159	1817	54989
160	1827	54918
161	1837	54884
162	1849	54875
163	1860	54873
164	1871	54842
165	1883	54851
166	1896	54879
167	1909	54909
168	1918	54835
169	1930	54853
170	1939	54761
171	1951	54781
172	1963	54789
173	1975	54801
174	1988	54816
175	2002	54891
176	2014	54893
177	2025	54882
178	2037	54885
179	2049	54888
180	2062	54914
181	2076	54977
182	2090	55027
183	2104	55089
184	2119	55154
185	2130	55151
186	2142	55154
187	2152	55106
188	2164	55106
189	2176	55090
190	2187	55074
191	2199	55069
192	2210	55066
193	2222	55062
194	2233	55038
195	2245	55037
196	2257	55034
197	2266	54973
198	2278	54974
199	2290	54971
200	2302	54963
201	2313	54961
202	2323	54914
203	2335	54898
204	2346	54875
205	2358	54878
206	2370	54883
207	2381	54873
208	2393	54857
209	2403	54833
210	2415	54817
211	2424	54751
212	2435	54735
213	2446	54703
214	2456	54677
215	2467	54649
216	2477	54612
217	2487	54574
218	2499	54556
219	2508	54510
220	2520	54506
221	2532	54509
222	2546	54550
223	2559	54563
224	2570	54554
225	2582	54542
226	2593	54539
227	2604	54512
228	2616	54508
229	2627	54482
230	2637	54444
231	2648	54431
232	2659	54405
233	2669	54372
234	2680	54357
235	2692	54346
236	2702	54307
237	2713	54296
238	2725	54286
239	2736	54283
240	2746	54240
241	2758	54239
242	2769	54224
243	2781	54206
244	2792	54187
245	2803	54172
246	2813	54137
247	2824	54124
248	2834	54081
249	2844	54053
250	2855	54033
251	2867	54026
252	2878	54017
253	2889	53991
254	2898	53940
255	2909	53920
256	2921	53920
257	2933	53916
258	2945	53915
259	2953	53850
