iter	F1	Logloss
0	0.7442010617	0.689421875
1	0.7442010617	0.6857814375
2	0.7488354399	0.6823605
3	0.7528098221	0.679014375
4	0.7518349609	0.675745375
5	0.7616395368	0.6722229375
6	0.7606974293	0.6690461875
7	0.769086906	0.665150875
8	0.7838296931	0.6618270625
9	0.8013979172	0.65802875
10	0.7967174154	0.65503075
11	0.8052819582	0.6513508125
12	0.8036966633	0.648346125
13	0.8069430554	0.644729875
14	0.8212956764	0.641200375
15	0.8198348335	0.6384049375
16	0.8156484351	0.63568225
17	0.812829247	0.632904875
18	0.8176749084	0.62953375
19	0.8210001433	0.6262431875
20	0.8253623822	0.622424875
21	0.8307407707	0.6187029375
22	0.8301789857	0.6159404375
23	0.8295673354	0.613344125
24	0.8329037113	0.6102290625
25	0.8360890959	0.607709625
26	0.8362825178	0.60468625
27	0.8380129846	0.6022515
28	0.8380783871	0.5995003125
29	0.8388918009	0.5965825625
30	0.8386274983	0.5942378125
31	0.8413052548	0.5909988125
32	0.8422964483	0.5881880625
33	0.8414135022	0.585937375
34	0.8456600813	0.5828456875
35	0.8460820342	0.580581625
36	0.8453482978	0.5785345625
37	0.8459752192	0.5758553125
38	0.8474694562	0.573065375
39	0.8477903381	0.5711000625
40	0.847479801	0.569032125
41	0.8510911579	0.566168625
42	0.8491271247	0.56427225
43	0.8494285956	0.5617371875
44	0.8517163231	0.558971625
45	0.8515432564	0.5570204375
46	0.8530554571	0.55433425
47	0.8556134633	0.551906
48	0.8555597015	0.5501405625
49	0.856990161	0.5475461875
50	0.8573314174	0.5458468125
51	0.8551192103	0.544111
52	0.8558468264	0.541601875
53	0.859387537	0.5392989375
54	0.8581398974	0.537644625
55	0.858879867	0.535134375
56	0.8607206107	0.5329150625
57	0.8604079508	0.5312910625
58	0.8623411769	0.528945125
59	0.8623311511	0.5274269375
60	0.8624496128	0.5258958125
61	0.8633802507	0.5237306875
62	0.8635159205	0.522240625
63	0.8624829873	0.520742625
64	0.8641650919	0.5185356562
65	0.8618395014	0.51707
66	0.8627595832	0.5150709688
67	0.8621308915	0.5136507812
68	0.8604934954	0.511649
69	0.8630124837	0.50967025
70	0.8643984706	0.5077211875
71	0.8634398164	0.5063614687
72	0.8645872903	0.504389125
73	0.8654778784	0.5025145
74	0.8658781353	0.5012801562
75	0.8645927265	0.4999909062
76	0.8678251072	0.4975665
77	0.8673110046	0.4958986563
78	0.866979411	0.4946414063
79	0.8673611786	0.492764125
80	0.8667248894	0.4910662188
81	0.8670682535	0.4897974375
82	0.8678802965	0.4881007813
83	0.8707790341	0.4857625938
84	0.870655199	0.48449175
85	0.870075076	0.4833908125
86	0.8707182122	0.4821054687
87	0.8709815996	0.480232
88	0.8708061688	0.4790985938
89	0.8711306174	0.4778538438
90	0.8706673777	0.4767083125
91	0.8727219659	0.4744825625
92	0.8723555235	0.47300375
93	0.8740326403	0.4708389687
94	0.8740110406	0.4697688437
95	0.8734411759	0.4686669375
96	0.873198043	0.467698875
97	0.8730759495	0.4666217812
98	0.8745747942	0.464536625
99	0.8747847965	0.463381875
100	0.8747759857	0.4624431562
101	0.8762773234	0.4604782188
102	0.8755235517	0.4594414375
103	0.8777315291	0.4574897187
104	0.8771792321	0.456522125
105	0.8780689798	0.455059625
106	0.8774405909	0.454113125
107	0.8775722694	0.4530239375
108	0.87720541	0.4521353125
109	0.8778457855	0.4507633437
110	0.8788815843	0.448912
111	0.8783060845	0.447965125
112	0.878173391	0.4470440625
113	0.8786118729	0.4458261562
114	0.8788443541	0.4447988438
115	0.8802396883	0.4430200938
116	0.879763795	0.442162625
117	0.8797752045	0.4413860937
118	0.8801676106	0.4400895312
119	0.8805372989	0.4387501563
120	0.8812618954	0.4374995625
121	0.8807587426	0.436621125
122	0.8811568512	0.4353183438
123	0.8809205528	0.4344646875
124	0.8808727479	0.4336404375
125	0.881011511	0.4324866875
