iter	Passed	Remaining
408	5182	58175
409	5196	58175
410	5210	58179
411	5222	58158
412	5232	58114
413	5246	58112
414	5259	58112
415	5270	58079
416	5283	58070
417	5296	58062
418	5310	58062
419	5324	58058
420	5333	58013
421	5347	58010
422	5361	58008
423	5373	57994
424	5386	57989
425	5400	57984
426	5413	57976
427	5426	57972
428	5437	57931
429	5450	57928
430	5463	57918
431	5476	57912
432	5490	57907
433	5503	57897
434	5517	57897
435	5530	57896
436	5544	57892
437	5557	57888
438	5569	57868
439	5583	57862
440	5595	57849
441	5608	57835
442	5621	57825
443	5635	57824
444	5647	57810
445	5661	57807
446	5675	57806
447	5689	57804
448	5702	57797
449	5715	57794
450	5729	57790
451	5743	57788
452	5756	57785
453	5770	57778
454	5783	57774
455	5797	57768
456	5810	57762
457	5822	57746
458	5836	57743
459	5849	57735
460	5860	57705
461	5874	57703
462	5888	57701
463	5901	57694
464	5915	57690
465	5929	57687
466	5942	57685
467	5956	57682
468	5969	57668
469	5981	57649
470	5994	57638
471	6007	57632
472	6021	57628
473	6033	57615
474	6046	57602
475	6059	57593
476	6072	57577
477	6085	57573
478	6097	57548
479	6110	57541
480	6124	57542
481	6137	57534
482	6151	57524
483	6164	57521
484	6178	57515
485	6191	57503
486	6204	57496
487	6217	57488
488	6231	57484
489	6244	57479
490	6258	57476
491	6272	57473
492	6282	57439
493	6295	57422
494	6308	57417
495	6322	57413
496	6335	57400
497	6348	57393
498	6362	57387
499	6375	57377
500	6389	57375
501	6402	57367
502	6415	57358
503	6428	57347
504	6441	57335
505	6455	57331
506	6468	57326
507	6482	57319
508	6494	57299
509	6507	57293
510	6520	57281
511	6533	57272
512	6547	57270
513	6561	57267
514	6575	57264
515	6588	57257
516	6602	57247
517	6615	57239
518	6628	57230
519	6641	57219
520	6655	57215
521	6669	57211
522	6682	57202
523	6696	57199
524	6706	57161
525	6720	57159
526	6733	57150
527	6747	57146
528	6760	57142
529	6774	57136
530	6788	57130
531	6800	57116
532	6814	57109
533	6826	57094
534	6839	57080
535	6852	57074
536	6866	57066
537	6879	57059
538	6892	57045
539	6906	57040
540	6917	57015
541	6930	57005
542	6943	56996
543	6957	56990
544	6971	56983
545	6984	56976
546	6997	56969
547	7011	56963
548	7024	56948
549	7037	56936
550	7050	56930
551	7063	56914
552	7075	56898
553	7088	56884
554	7098	56853
555	7112	56850
556	7125	56839
557	7139	56834
558	7153	56829
559	7166	56822
560	7179	56809
561	7192	56795
562	7205	56789
563	7219	56782
564	7232	56772
565	7244	56756
566	7256	56736
567	7269	56722
568	7283	56717
569	7296	56706
570	7310	56700
571	7322	56687
572	7334	56667
573	7347	56656
574	7360	56646
575	7373	56633
576	7387	56626
577	7401	56621
578	7413	56608
579	7427	56602
580	7440	56593
581	7453	56581
582	7465	56562
583	7478	56552
584	7492	56543
585	7504	56528
586	7517	56515
587	7530	56504
588	7542	56484
589	7553	56462
590	7568	56460
591	7582	56456
592	7595	56450
593	7609	56444
594	7623	56438
595	7636	56426
596	7650	56422
597	7663	56410
598	7676	56401
599	7689	56387
600	7702	56377
601	7715	56367
602	7728	56351
603	7741	56345
604	7754	56331
605	7768	56327
606	7782	56322
607	7795	56312
608	7809	56306
609	7822	56299
610	7836	56293
611	7850	56287
612	7861	56265
613	7875	56260
614	7889	56251
615	7902	56239
616	7916	56233
617	7929	56222
618	7942	56211
619	7955	56199
620	7968	56187
621	7980	56174
622	7994	56168
623	8007	56152
624	8020	56144
625	8034	56138
626	8048	56132
627	8062	56126
628	8074	56113
629	8088	56105
630	8102	56103
631	8115	56090
632	8129	56081
633	8143	56077
634	8157	56073
635	8169	56055
636	8182	56047
637	8196	56039
638	8209	56027
639	8222	56017
640	8236	56008
641	8249	56001
642	8262	55987
643	8276	55980
644	8289	55968
645	8301	55952
646	8314	55941
647	8328	55931
648	8341	55921
649	8354	55912
650	8368	55906
651	8380	55884
652	8393	55878
653	8407	55871
654	8420	55858
655	8432	55841
656	8445	55828
657	8458	55818
658	8472	55811
659	8485	55799
660	8499	55791
661	8511	55772
662	8524	55761
663	8536	55746
664	8548	55725
665	8561	55713
666	8572	55690
667	8586	55684
668	8599	55673
669	8612	55663
670	8626	55655
671	8639	55640
672	8652	55630
673	8665	55620
674	8679	55611
675	8692	55603
676	8706	55594
677	8719	55582
678	8732	55569
679	8745	55561
680	8758	55545
681	8771	55533
682	8784	55522
683	8797	55513
684	8811	55506
685	8825	55499
686	8838	55488
687	8850	55470
688	8862	55453
689	8876	55445
690	8890	55438
691	8902	55424
692	8916	55417
693	8929	55404
694	8943	55397
695	8957	55389
696	8970	55382
697	8984	55374
698	8995	55348
699	9007	55334
700	9020	55320
701	9034	55313
702	9047	55302
703	9061	55297
704	9071	55263
705	9083	55244
706	9097	55241
707	9111	55233
708	9124	55223
709	9137	55208
